generation,N_shifts,logPrior,logLik,eventRate,acceptRate
1270000,42,179.654,-7002.63,50.6381,0.2638
1280000,41,179.923,-7010.17,42.9182,0.2715
1290000,38,169.075,-7012.44,35.8255,0.2694
1300000,39,181.696,-7003.86,30.6037,0.2784
1310000,36,154.196,-7008.1,31.9162,0.247
1320000,39,176.238,-7001.52,44.651,0.2697
1330000,36,153.3,-7017.23,39.2087,0.2595
1340000,38,177.513,-7008.9,38.4786,0.2581
1350000,45,217.792,-6998.69,45.7758,0.2705
1360000,40,180.608,-6986.78,31.9255,0.2653
1370000,42,187.379,-6992.9,35.9533,0.249
1380000,38,161.824,-6983.27,38.143,0.2382
1390000,37,155.15,-6979.74,35.3846,0.2341
1400000,37,162.277,-6985.98,32.3902,0.2362
1410000,39,172.273,-6988.38,33.5656,0.2485
1420000,41,187.341,-6985.11,36.4891,0.2362
1430000,36,152.341,-6996.34,51.961,0.2582
1440000,39,174.208,-6994.18,41.046,0.2402
1450000,43,193.216,-6978.52,37.9093,0.2581
1460000,44,196.756,-6992.39,35.8073,0.2657
1470000,40,185.526,-6993.6,38.1049,0.2375
1480000,41,182.896,-6986.15,36.9549,0.2498
1490000,42,191.014,-6973.98,32.3643,0.254
1500000,48,228.355,-6977.17,44.9691,0.2469
1510000,48,227.059,-6975.16,38.2165,0.2622
1520000,47,213.183,-6980.33,52.6281,0.2696
1530000,56,274.139,-6975.04,52.2921,0.2788
1540000,60,295.347,-6959.06,50.3147,0.298
1550000,54,261.066,-6959.4,47.0053,0.2692
1560000,49,235.695,-6962.06,44.648,0.2668
1570000,58,285.761,-6958.45,47.8224,0.2661
1580000,56,262.625,-6964.09,52.3818,0.2795
1590000,54,268.634,-6969.59,58.0952,0.2915
1600000,55,270.566,-6967.13,58.8944,0.2812
1610000,49,230.525,-6972.64,51.5984,0.2648
1620000,45,215.586,-6965.21,34.716,0.2635
1630000,54,261.608,-6942.15,47.1943,0.278
1640000,49,237.587,-6969.58,54.0027,0.2793
1650000,49,241.752,-6972.32,56.8676,0.286
1660000,51,250.459,-6984.9,41.9675,0.2964
1670000,56,266.365,-6954.6,65.0879,0.2828
1680000,59,278.376,-6951.21,61.3429,0.2864
1690000,71,364.199,-6932.93,63.219,0.2954
1700000,76,400.281,-6955.23,74.6638,0.3189
1710000,73,353.21,-6952.22,82.1086,0.3175
1720000,65,331.884,-6955.22,66.0008,0.3113
1730000,65,332.971,-6956.3,80.6365,0.3017
1740000,62,312.205,-6963.06,61.382,0.303
1750000,60,301.771,-6950.75,47.4456,0.3037
1760000,56,266.222,-6969.71,48.9783,0.2923
1770000,51,245,-6977.33,44.7127,0.2817
1780000,50,232.047,-6962.35,44.7298,0.2785
1790000,54,264.644,-6971.7,58.7685,0.273
1800000,53,258.999,-6974.07,42.1561,0.2808
1810000,61,306.168,-6968.38,58.2199,0.2913
1820000,57,271.87,-6964.17,53.1172,0.2988
1830000,55,266.379,-6955.92,63.8906,0.2933
1840000,51,244.021,-6964.34,49.7143,0.277
1850000,54,252.71,-6968.88,53.4414,0.288
1860000,63,309.562,-6966.7,64.9533,0.2851
1870000,72,353.271,-6965.93,67.2184,0.3098
1880000,80,398.009,-6972.07,79.447,0.3207
1890000,66,326.387,-6946.37,64.1228,0.3174
1900000,62,297.401,-6955.01,52.2978,0.3012
1910000,65,314.975,-6956.72,74.3588,0.3026
1920000,64,306.63,-6961.92,61.9377,0.2981
1930000,57,274.077,-6964.48,65.7101,0.3037
1940000,59,277.831,-6953.79,64.1414,0.297
1950000,56,259.304,-6949.63,53.0143,0.2919
1960000,58,265.512,-6952.73,56.8372,0.269
1970000,60,281.784,-6961.8,59.1618,0.2693
1980000,57,266.488,-6958.26,48.3984,0.2806
1990000,61,301.768,-6952.37,70.047,0.2988
2000000,58,295.572,-6955.25,52.5528,0.301
2010000,52,260.035,-6963.43,37.9401,0.2832
2020000,59,302.053,-6954.83,51.3712,0.2768
2030000,52,253.411,-6959.11,42.9576,0.2644
2040000,58,303.757,-6953.28,49.6021,0.2669
2050000,50,249.345,-6953.7,41.1611,0.2875
2060000,52,247.662,-6980.51,55.4636,0.277
2070000,44,206.032,-6969,35.6797,0.2785
2080000,44,202.95,-6977.55,43.0965,0.2524
2090000,48,221.322,-6970.64,38.4015,0.2656
2100000,46,218.075,-6966.6,55.756,0.2595
2110000,48,217.964,-6944.68,54.947,0.2438
2120000,46,209.074,-6946.86,36.8759,0.2543
2130000,50,230.489,-6971.25,44.8409,0.268
2140000,51,230.637,-6956.42,63.8999,0.265
2150000,46,218.114,-6966.04,45.9759,0.2708
2160000,47,219.343,-6967.35,45.0975,0.2682
2170000,46,219.403,-6966.83,42.131,0.2625
2180000,47,216.758,-6968.68,49.8623,0.2398
2190000,46,207.749,-6958.75,55.2773,0.2547
2200000,51,249.994,-6951.95,47.775,0.2686
2210000,50,240.814,-6959.68,36.6621,0.2873
2220000,49,225.926,-6984.93,58.066,0.2846
2230000,56,273.561,-6960.98,55.9101,0.2819
2240000,62,299.53,-6960.6,52.3802,0.2901
2250000,60,292.016,-6958.81,63.9155,0.2934
2260000,61,308.884,-6950.38,67.3838,0.2943
2270000,53,255.118,-6953,52.462,0.2919
2280000,58,270.566,-6968.06,53.6597,0.282
2290000,57,260.022,-6967.46,47.978,0.284
2300000,51,238.878,-6958.96,39.4684,0.2673
2310000,56,251.738,-6967.44,64.9131,0.29
2320000,56,246.524,-6965.12,52.2856,0.2878
2330000,56,248.554,-6955.36,63.508,0.2747
2340000,55,252.76,-6969.9,52.1412,0.2779
2350000,49,230.427,-6958.67,56.3351,0.2706
2360000,50,228.591,-6976.96,46.5796,0.2609
2370000,55,266.173,-6961.4,61.9014,0.2761
2380000,52,248.829,-6956.27,66.0712,0.2866
2390000,52,241.04,-6969.84,46.8141,0.2713
2400000,57,271.089,-6980.85,50.9646,0.2702
2410000,56,275.179,-6967.54,52.7232,0.2813
2420000,56,281.485,-6975.22,51.7173,0.2761
2430000,55,257.65,-6955.71,60.4069,0.2816
2440000,52,243.079,-6952.7,57.3773,0.27
