generation,rank_1,rank_2,swapAccepted
354000,4,6,0
355000,4,5,0
356000,1,4,0
357000,5,6,1
358000,1,6,0
359000,1,3,0
360000,4,5,0
361000,4,6,0
362000,2,4,0
363000,2,4,0
364000,4,6,0
365000,4,6,0
366000,1,2,0
367000,1,4,0
368000,3,6,0
369000,3,6,0
370000,5,6,0
371000,2,3,0
372000,2,6,0
373000,1,6,0
374000,1,6,0
375000,1,3,0
376000,1,5,0
377000,5,6,0
378000,4,5,0
379000,1,2,0
380000,1,2,0
381000,4,6,0
382000,2,6,0
383000,1,3,0
384000,2,4,0
385000,2,6,0
386000,1,3,0
387000,1,6,0
388000,4,6,0
389000,3,4,0
390000,2,6,0
391000,3,4,1
392000,2,4,0
393000,1,2,0
394000,4,6,0
395000,1,5,0
396000,1,3,0
397000,3,5,0
398000,3,4,1
399000,3,6,0
400000,2,4,0
401000,1,4,0
402000,2,6,0
403000,5,6,0
404000,4,6,0
405000,2,5,0
406000,4,5,0
407000,1,3,0
408000,1,6,0
409000,1,3,0
410000,3,6,0
411000,4,5,0
412000,3,4,0
413000,1,6,0
414000,3,4,0
415000,1,2,0
416000,2,6,0
417000,2,6,0
418000,2,3,0
419000,1,4,0
420000,3,5,0
421000,2,5,0
422000,3,6,0
423000,3,4,0
424000,2,5,0
425000,2,3,0
426000,2,6,0
427000,2,3,0
428000,2,5,0
429000,3,4,1
430000,2,6,0
431000,2,5,0
432000,2,4,0
433000,1,6,0
434000,2,6,0
435000,1,3,0
436000,3,4,1
437000,1,3,0
438000,4,6,0
439000,1,2,0
440000,4,6,0
441000,2,4,0
442000,5,6,1
443000,3,6,0
444000,1,5,0
445000,3,5,0
446000,1,3,0
447000,2,5,0
448000,3,4,1
449000,1,4,0
450000,3,5,0
451000,3,4,1
452000,1,2,0
453000,1,5,0
454000,4,5,1
455000,5,6,0
456000,1,3,0
457000,2,6,0
458000,2,4,0
459000,1,5,0
460000,3,4,0
461000,3,5,0
462000,2,5,0
463000,2,4,0
464000,2,3,0
465000,4,6,0
466000,1,3,0
467000,1,6,0
468000,1,5,0
469000,1,3,0
