generation,rank_1,rank_2,swapAccepted
354000,4,5,0
355000,2,5,0
356000,1,5,0
357000,2,4,0
358000,1,2,0
359000,1,6,0
360000,4,5,0
361000,2,5,0
362000,3,5,0
363000,3,5,0
364000,2,5,0
365000,2,5,0
366000,1,3,0
367000,1,5,0
368000,2,6,0
369000,2,6,0
370000,2,4,0
371000,3,6,0
372000,2,3,0
373000,1,2,0
374000,1,2,0
375000,1,6,0
376000,1,4,0
377000,2,4,0
378000,4,5,1
379000,1,3,0
380000,1,3,0
381000,2,4,0
382000,2,3,1
383000,1,6,0
384000,2,4,0
385000,2,3,1
386000,1,6,0
387000,1,2,0
388000,2,4,0
389000,4,6,0
390000,2,3,0
391000,4,6,1
392000,3,4,0
393000,1,3,0
394000,2,4,0
395000,1,5,0
396000,1,6,0
397000,5,6,0
398000,4,6,1
399000,2,6,0
400000,3,4,1
401000,1,3,0
402000,2,4,0
403000,2,5,0
404000,2,3,0
405000,4,5,1
406000,3,4,0
407000,1,6,0
408000,1,2,0
409000,1,6,0
410000,2,6,0
411000,3,4,0
412000,3,6,1
413000,1,2,0
414000,3,6,1
415000,1,5,0
416000,2,5,0
417000,2,5,0
418000,5,6,0
419000,1,3,0
420000,4,6,0
421000,4,5,1
422000,2,6,0
423000,3,6,0
424000,4,5,1
425000,5,6,0
426000,2,5,0
427000,5,6,0
428000,4,5,1
429000,3,6,0
430000,2,4,0
431000,4,5,0
432000,4,6,0
433000,1,2,0
434000,2,4,0
435000,1,3,0
436000,3,6,0
437000,1,6,0
438000,2,3,0
439000,1,4,0
440000,2,3,0
441000,3,4,1
442000,2,5,0
443000,5,6,0
444000,1,2,0
445000,2,6,0
446000,1,6,0
447000,2,3,0
448000,4,6,0
449000,1,6,0
450000,2,4,0
451000,4,6,0
452000,1,3,0
453000,1,2,0
454000,2,4,0
455000,4,5,1
456000,1,6,0
457000,3,4,0
458000,2,3,0
459000,1,5,0
460000,2,6,0
461000,5,6,0
462000,3,5,0
463000,2,3,1
464000,2,6,0
465000,3,4,0
466000,1,6,0
467000,1,4,0
468000,1,5,0
469000,1,6,0
470000,4,6,0
471000,2,6,0
472000,2,6,0
473000,2,4,0
474000,2,5,0
475000,2,3,1
476000,2,4,0
477000,2,4,0
478000,1,5,0
479000,3,6,0
480000,4,5,1
481000,4,5,0
482000,2,4,0
483000,2,4,0
484000,2,3,0
485000,4,5,0
486000,4,5,0
487000,3,6,0
488000,1,5,0
489000,3,4,1
490000,1,3,0
491000,3,6,0
492000,1,5,0
493000,4,5,0
494000,1,6,0
495000,1,2,1
496000,2,6,0
497000,1,4,0
498000,4,6,0
499000,2,4,0
500000,5,6,0
501000,5,6,0
502000,5,6,0
503000,2,3,0
504000,1,3,0
505000,2,5,0
506000,3,4,1
507000,3,5,0
508000,2,4,0
509000,3,5,0
510000,4,6,0
511000,4,6,0
512000,2,3,0
513000,2,5,0
514000,1,5,0
515000,1,6,0
516000,3,6,0
517000,2,4,0
518000,4,6,0
519000,2,4,0
520000,1,2,1
521000,4,5,0
522000,1,2,0
523000,1,2,0
524000,2,4,0
525000,3,6,0
526000,4,5,0
527000,1,2,0
528000,3,5,1
529000,3,4,1
530000,1,3,0
531000,4,6,0
532000,5,6,0
533000,1,2,0
534000,1,2,0
535000,3,6,0
536000,2,5,0
537000,4,6,0
538000,2,4,0
539000,2,5,0
540000,4,5,1
541000,1,2,0
542000,3,5,0
543000,5,6,0
544000,1,3,0
545000,2,6,0
546000,3,4,0
547000,3,5,0
548000,1,6,0
549000,3,6,0
550000,2,3,0
551000,1,2,0
552000,2,4,0
553000,2,4,0
554000,2,6,0
555000,1,2,0
556000,1,2,0
557000,2,4,0
558000,2,4,0
559000,1,3,0
560000,1,6,0
561000,3,6,0
562000,2,6,0
563000,1,6,0
564000,3,5,0
565000,5,6,0
566000,3,5,0
567000,2,5,0
568000,2,5,0
569000,2,5,0
570000,4,5,1
571000,1,3,0
572000,2,3,0
573000,1,4,0
574000,2,4,0
575000,2,4,0
576000,4,5,0
577000,1,6,0
578000,1,5,0
579000,1,5,0
580000,3,5,0
581000,5,6,1
582000,1,5,0
583000,4,6,0
584000,3,6,0
585000,1,6,0
586000,1,5,0
587000,2,6,0
588000,2,6,0
589000,5,6,1
590000,1,3,0
591000,1,6,0
592000,1,2,0
593000,1,5,0
594000,4,5,1
595000,1,5,0
596000,2,6,0
597000,2,3,0
598000,1,5,0
599000,2,6,0
600000,1,4,0
601000,1,6,0
602000,1,5,0
603000,1,2,0
604000,3,4,0
605000,3,4,1
606000,4,6,0
607000,2,3,0
608000,1,6,0
609000,4,5,1
610000,4,5,1
611000,1,4,0
612000,5,6,0
613000,3,4,1
614000,1,5,0
615000,4,5,0
616000,4,5,1
617000,1,2,0
618000,1,3,0
619000,2,6,0
620000,1,6,0
621000,1,3,0
622000,2,3,0
623000,4,6,0
624000,1,3,0
625000,2,5,0
626000,1,5,0
627000,2,4,0
628000,2,4,0
629000,3,5,0
630000,4,5,0
631000,1,2,0
632000,3,5,0
633000,4,6,0
634000,1,2,0
635000,1,4,0
636000,1,3,0
637000,3,4,0
638000,3,4,0
639000,4,5,0
640000,3,5,0
641000,1,5,0
642000,2,5,0
643000,2,5,0
644000,2,5,0
645000,2,4,0
646000,4,5,1
647000,2,3,0
648000,4,6,1
649000,4,5,1
650000,2,6,0
651000,3,5,1
652000,1,2,0
653000,2,5,0
654000,3,5,1
655000,2,6,0
656000,3,5,0
657000,2,4,0
658000,2,3,0
659000,1,5,0
660000,1,6,0
661000,1,4,0
662000,2,5,0
663000,4,6,1
664000,2,6,0
665000,1,3,0
666000,3,5,1
667000,1,6,0
668000,1,4,0
669000,3,6,0
670000,2,4,0
671000,1,4,0
672000,1,6,0
673000,2,4,0
674000,1,6,0
675000,3,4,0
676000,1,4,0
677000,2,5,0
678000,1,6,0
679000,1,2,0
680000,1,4,0
681000,4,6,0
682000,3,6,0
683000,4,5,1
684000,2,3,0
685000,1,3,0
686000,5,6,0
687000,1,3,0
688000,4,5,1
689000,1,3,0
690000,4,5,1
691000,5,6,0
692000,1,2,0
693000,2,6,0
694000,2,4,0
695000,1,3,0
696000,1,5,0
697000,2,3,0
698000,2,5,0
699000,1,4,0
700000,2,3,0
701000,2,6,0
702000,4,6,0
703000,2,6,0
704000,2,4,0
705000,2,5,0
706000,3,4,0
707000,4,6,0
708000,3,4,1
