generation,N_shifts,logPrior,logLik,eventRate,acceptRate
1250000,16,45.4296,-5748.37,10.9045,0.258333
1260000,20,79.7087,-5740.95,19.5674,0.2654
1270000,16,49.7948,-5740.42,8.66587,0.2775
1280000,16,48.0331,-5752.44,14.2414,0.2566
1290000,20,75.2583,-5739.56,24.7988,0.2562
1300000,19,57.9735,-5732.84,31.1425,0.2651
1310000,18,48.4294,-5736.56,20.7185,0.2376
1320000,18,54.3043,-5737.8,20.4351,0.2504
1330000,20,73.1159,-5741.72,23.23,0.2695
1340000,17,49.9095,-5744.59,13.2661,0.2542
1350000,17,52.187,-5747.32,20.0161,0.2526
1360000,19,63.4066,-5738.85,18.6627,0.2601
1370000,22,80.9279,-5739.57,24.3375,0.2712
1380000,15,43.7185,-5748.42,13.6054,0.2551
1390000,17,51.7085,-5744.95,16.1767,0.2456
1400000,15,36.9076,-5750.65,11.2675,0.2555
1410000,16,46.3461,-5747.78,17.0511,0.2392
1420000,19,65.1997,-5744.21,20.3478,0.2432
1430000,14,34.5686,-5751.2,9.13044,0.2448
1440000,18,56.9074,-5749.47,14.2769,0.2551
1450000,17,50.4697,-5748.62,13.756,0.2426
1460000,18,56.669,-5739.41,9.49721,0.2626
1470000,17,48.5088,-5738.04,13.7477,0.25
1480000,16,39.3792,-5750.68,13.691,0.2654
1490000,15,46.0401,-5755,19.2978,0.2651
1500000,17,49.61,-5748.8,15.1088,0.2544
1510000,19,57.4086,-5752.3,13.2443,0.2581
1520000,18,58.6164,-5739.79,17.091,0.2839
1530000,19,53.9004,-5745.02,19.0527,0.2571
1540000,19,47.6773,-5750.43,18.6314,0.2752
1550000,16,52.5098,-5758.61,20.6912,0.2507
1560000,16,51.7903,-5746.22,22.3357,0.2616
1570000,19,63.5904,-5751.02,21.1233,0.2497
1580000,18,67.0584,-5750.78,15.762,0.2548
1590000,14,38.5687,-5747.27,11.4004,0.241514
1600000,15,48.4177,-5763.95,13.3409,0.25155
1610000,15,51.704,-5755.13,12.112,0.2547
1620000,17,56.8111,-5736.6,11.9569,0.2469
1630000,14,37.6921,-5743.4,13.4118,0.2471
1640000,15,42.2422,-5731.22,13.6254,0.2468
1650000,14,37.5622,-5745.4,14.6002,0.2512
1660000,17,51.3158,-5743.92,14.7539,0.2466
1670000,16,47.8681,-5741.93,18.6886,0.2471
1680000,17,56.5409,-5752.75,11.2351,0.2553
1690000,18,63.5353,-5745.24,13.5374,0.2738
1700000,14,42.3508,-5746.26,19.5193,0.2679
1710000,15,46.7102,-5747.57,15.6887,0.2565
1720000,15,42.9289,-5748.91,13.0512,0.2811
1730000,17,56.3871,-5738.9,14.5921,0.2458
1740000,18,62.9009,-5734.89,14.7544,0.2689
1750000,17,53.6663,-5751.59,20.2211,0.2628
1760000,15,43.507,-5747.95,15.5329,0.254
1770000,14,38.8953,-5745.62,20.9756,0.2561
1780000,14,28.1703,-5736.43,8.1503,0.232
1790000,14,31.2764,-5737.09,11.5373,0.2471
1800000,16,44.1918,-5742.22,18.9296,0.2448
1810000,15,39.8017,-5747.39,10.2137,0.240655
1820000,17,49.1611,-5741.56,13.5406,0.2367
1830000,17,51.4539,-5749.28,23.2881,0.2505
